model,feature,mean,std
gradient_boosting,count_30d,0.7580189275971225,0.04069565599780554
gradient_boosting,mean_depth_30d,0.03327644366867711,0.008287901809616373
gradient_boosting,b_value_180d,0.0332660766618019,0.010233369687605154
gradient_boosting,days_since_m5,0.03298676824761247,0.02497092533404568
gradient_boosting,mean_fault_dist_km_7d,0.03251619623598513,0.014718868804014136
gradient_boosting,a_value_180d,0.017361326514865622,0.004148252813050681
gradient_boosting,pct_near_fault_30d,0.016422645155841263,0.00856835668865783
gradient_boosting,min_fault_dist_km,0.015881356762378594,0.0031754075612590335
gradient_boosting,max_mag_7d,0.01217458421243771,0.002386841935541994
gradient_boosting,count_7d,0.010553778674325472,0.006440627574360193
gradient_boosting,max_mag_30d,0.009387768357731674,0.0022420127095855
gradient_boosting,num_clusters_30d,0.008725719022816396,0.008080239580711635
gradient_boosting,pct_clustered_30d,0.00855284273520655,0.0028465563597863588
gradient_boosting,delta_b_90d,0.0037570702922281696,0.0012399682352556552
gradient_boosting,largest_cluster_size_30d,0.0036070204152289353,0.0018138273841329581
gradient_boosting,count_1d,0.0017593182547344195,0.0009578931059986164
gradient_boosting,max_grid_cell_count_30d,0.0017521571910060934,0.001143776351924763
random_forest,count_30d,0.6879044810976279,0.07564392868743977
random_forest,mean_depth_30d,0.05542954160440805,0.006199210216597239
random_forest,b_value_180d,0.03365788206948535,0.007366791851999565
random_forest,mean_fault_dist_km_7d,0.03349503331710412,0.012146582098276883
random_forest,days_since_m5,0.030124648894157387,0.019432713552855984
random_forest,max_mag_30d,0.02573027506271862,0.003255780422990787
random_forest,min_fault_dist_km,0.02059987683118692,0.004612195147753948
random_forest,pct_near_fault_30d,0.02018955178492708,0.007650382739427458
random_forest,a_value_180d,0.020037467193703487,0.007217380910693995
random_forest,max_mag_7d,0.019903578339255594,0.0030715954209974915
random_forest,pct_clustered_30d,0.01592522472856408,0.004410778997692556
random_forest,count_7d,0.008515599935213865,0.002372084151021561
random_forest,largest_cluster_size_30d,0.007655890699292101,0.0028930815101212426
random_forest,delta_b_90d,0.0062723929735881935,0.0012504694635458759
random_forest,num_clusters_30d,0.005945414845201762,0.000970288705866546
random_forest,max_grid_cell_count_30d,0.004623533182876457,0.0013248925493614457
random_forest,count_1d,0.003989607440688972,0.0009975617328296259
