fold,model,feature,importance
1,random_forest,count_1d,0.0025183744278915315
1,random_forest,count_7d,0.005378605581083026
1,random_forest,count_30d,0.8127121691975597
1,random_forest,max_mag_7d,0.016933441007210732
1,random_forest,max_mag_30d,0.021535309834893046
1,random_forest,mean_depth_30d,0.04980499268599089
1,random_forest,days_since_m5,0.00650170056502305
1,random_forest,min_fault_dist_km,0.011856057898668473
1,random_forest,mean_fault_dist_km_7d,0.016360247271375125
1,random_forest,pct_near_fault_30d,0.006120256501980332
1,random_forest,num_clusters_30d,0.003722628064858824
1,random_forest,largest_cluster_size_30d,0.0025722678441106534
1,random_forest,pct_clustered_30d,0.009953018666507536
1,random_forest,max_grid_cell_count_30d,0.0021291190851931764
1,random_forest,b_value_180d,0.017575202215451363
1,random_forest,a_value_180d,0.008920504665602447
1,random_forest,delta_b_90d,0.0054061044866001605
1,gradient_boosting,count_1d,0.0015029885572006298
1,gradient_boosting,count_7d,0.003608435865291233
1,gradient_boosting,count_30d,0.8197471752392694
1,gradient_boosting,max_mag_7d,0.013114153079447872
1,gradient_boosting,max_mag_30d,0.010393076618916527
1,gradient_boosting,mean_depth_30d,0.04550199797822518
1,gradient_boosting,days_since_m5,0.004467851297976911
1,gradient_boosting,min_fault_dist_km,0.01817638572642393
1,gradient_boosting,mean_fault_dist_km_7d,0.01793115715189513
1,gradient_boosting,pct_near_fault_30d,0.004167060797403452
1,gradient_boosting,num_clusters_30d,0.014064099276094503
1,gradient_boosting,largest_cluster_size_30d,0.001280853570505131
1,gradient_boosting,pct_clustered_30d,0.013102720868326317
1,gradient_boosting,max_grid_cell_count_30d,0.0013986426482077282
1,gradient_boosting,b_value_180d,0.012331053765527785
1,gradient_boosting,a_value_180d,0.01329368086638008
1,gradient_boosting,delta_b_90d,0.005918666692908135
2,random_forest,count_1d,0.0026415102296238045
2,random_forest,count_7d,0.004698270054761136
2,random_forest,count_30d,0.8144577229925294
2,random_forest,max_mag_7d,0.01753548649086118
2,random_forest,max_mag_30d,0.021293924651126374
2,random_forest,mean_depth_30d,0.04553315836571003
2,random_forest,days_since_m5,0.008110304973222396
2,random_forest,min_fault_dist_km,0.014616327327869714
2,random_forest,mean_fault_dist_km_7d,0.012776482635685213
2,random_forest,pct_near_fault_30d,0.006333669284725368
2,random_forest,num_clusters_30d,0.004870722950671365
2,random_forest,largest_cluster_size_30d,0.0022052374189969106
2,random_forest,pct_clustered_30d,0.0073072918225740024
2,random_forest,max_grid_cell_count_30d,0.002621950283114234
2,random_forest,b_value_180d,0.023857058604812978
2,random_forest,a_value_180d,0.0055242312146878865
2,random_forest,delta_b_90d,0.005616650699028074
2,gradient_boosting,count_1d,0.0011053243849551587
2,gradient_boosting,count_7d,0.0030078426159919356
2,gradient_boosting,count_30d,0.8459092405278816
2,gradient_boosting,max_mag_7d,0.012119560116138088
2,gradient_boosting,max_mag_30d,0.006924232822115805
2,gradient_boosting,mean_depth_30d,0.03807926324856308
2,gradient_boosting,days_since_m5,0.005035604990196062
2,gradient_boosting,min_fault_dist_km,0.018453336543110162
