fold,model,feature,importance
1,random_forest,count_1d,0.0024554006790408088
1,random_forest,count_7d,0.005331280334912603
1,random_forest,count_30d,0.8101694535091485
1,random_forest,max_mag_7d,0.01613807833491389
1,random_forest,max_mag_30d,0.020733870359945564
1,random_forest,mean_depth_30d,0.04421577163613614
1,random_forest,days_since_m5,0.006482775960073518
1,random_forest,min_fault_dist_km,0.011131873734695527
1,random_forest,mean_fault_dist_km_7d,0.01546754609908096
1,random_forest,pct_near_fault_30d,0.006426381031929033
1,random_forest,num_clusters_30d,0.0038308887617513375
1,random_forest,largest_cluster_size_30d,0.0024102431878890132
1,random_forest,pct_clustered_30d,0.0099613565145893
1,random_forest,max_grid_cell_count_30d,0.002153727315483935
1,random_forest,b_value_180d,0.01703300770851865
1,random_forest,a_value_180d,0.008921043980990558
1,random_forest,delta_b_90d,0.005348543885180326
1,random_forest,count_1d_missing,0.0
1,random_forest,count_7d_missing,0.0
1,random_forest,count_30d_missing,0.0
1,random_forest,max_mag_7d_missing,0.00031688242248193815
1,random_forest,max_mag_30d_missing,0.00017355333522281704
1,random_forest,mean_depth_30d_missing,0.000281111288992639
1,random_forest,days_since_m5_missing,0.0
1,random_forest,min_fault_dist_km_missing,0.0004637700872915363
1,random_forest,mean_fault_dist_km_7d_missing,0.00043956232899363177
1,random_forest,pct_near_fault_30d_missing,0.00033868853121051115
1,random_forest,num_clusters_30d_missing,0.0
1,random_forest,largest_cluster_size_30d_missing,0.0
1,random_forest,pct_clustered_30d_missing,0.0
1,random_forest,max_grid_cell_count_30d_missing,0.0
1,random_forest,b_value_180d_missing,1.036804863338247e-05
1,random_forest,a_value_180d_missing,2.7609064613078108e-05
1,random_forest,delta_b_90d_missing,4.1283127422156415e-05
1,random_forest,province_Davao De Oro,0.0
1,random_forest,province_Davao Del Norte,0.006679846696740928
1,random_forest,province_Davao Del Sur,0.0024950913751228586
1,random_forest,province_Davao Occidental,0.00039130635245629214
1,random_forest,province_Davao Oriental,0.0001296843065385662
1,gradient_boosting,count_1d,0.0009169048657070091
1,gradient_boosting,count_7d,0.002634643611913974
1,gradient_boosting,count_30d,0.8143036337044115
1,gradient_boosting,max_mag_7d,0.01568506247514679
1,gradient_boosting,max_mag_30d,0.010661105998294071
1,gradient_boosting,mean_depth_30d,0.03656498469463408
1,gradient_boosting,days_since_m5,0.006430165889128004
1,gradient_boosting,min_fault_dist_km,0.013668596208033823
1,gradient_boosting,mean_fault_dist_km_7d,0.018677472226463272
1,gradient_boosting,pct_near_fault_30d,0.008596769438415416
1,gradient_boosting,num_clusters_30d,0.013467670971349379
1,gradient_boosting,largest_cluster_size_30d,0.0011155717111155372
1,gradient_boosting,pct_clustered_30d,0.010854413110348555
1,gradient_boosting,max_grid_cell_count_30d,0.001380152204337211
1,gradient_boosting,b_value_180d,0.012218687630351152
1,gradient_boosting,a_value_180d,0.013053886984076767
1,gradient_boosting,delta_b_90d,0.006878542701427431
1,gradient_boosting,count_1d_missing,0.0
1,gradient_boosting,count_7d_missing,0.0
1,gradient_boosting,count_30d_missing,0.0
1,gradient_boosting,max_mag_7d_missing,0.0003505036051487499
1,gradient_boosting,max_mag_30d_missing,0.0
1,gradient_boosting,mean_depth_30d_missing,0.0
1,gradient_boosting,days_since_m5_missing,0.0
