province,forecast_date,count_1d,count_7d,count_30d,max_mag_7d,max_mag_30d,mean_depth_30d,days_since_m5,min_fault_dist_km,mean_fault_dist_km_7d,pct_near_fault_30d,num_clusters_30d,largest_cluster_size_30d,pct_clustered_30d,max_grid_cell_count_30d,b_value_180d,a_value_180d,delta_b_90d
Davao De Oro,2020-01-27 00:00:00+00:00,0,0,0,,,,999.0,,,,0,0,0.0,0,,,
Davao De Oro,2020-02-03 00:00:00+00:00,1,2,2,2.2,2.2,45.0,999.0,5.377261100491932,11.8363613194745,0.5,0,0,0.0,1,,,
Davao De Oro,2020-02-10 00:00:00+00:00,0,0,2,,2.2,45.0,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-02-17 00:00:00+00:00,0,0,2,,2.2,45.0,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-02-24 00:00:00+00:00,0,2,4,2.5,2.5,27.0,999.0,1.8246173368954042,11.43418964221345,0.5,1,2,0.5,2,,,
Davao De Oro,2020-03-02 00:00:00+00:00,0,0,3,,2.5,13.666666666666666,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-03-09 00:00:00+00:00,0,0,2,,2.5,9.0,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-03-16 00:00:00+00:00,0,0,2,,2.5,9.0,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-03-23 00:00:00+00:00,0,1,1,3.3,3.3,15.0,999.0,18.08679110916466,18.08679110916466,0.0,0,0,0.0,1,,,
Davao De Oro,2020-03-30 00:00:00+00:00,0,1,2,3.3,3.3,16.5,999.0,3.3191182267865913,3.3191182267865913,0.5,0,0,0.0,1,,,
Davao De Oro,2020-04-06 00:00:00+00:00,0,0,2,,3.3,16.5,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-04-13 00:00:00+00:00,0,0,2,,3.3,16.5,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-04-20 00:00:00+00:00,1,1,3,1.7,3.3,21.666666666666668,999.0,1.4097473312938849,1.4097473312938849,0.6666666666666666,0,0,0.0,1,,,
Davao De Oro,2020-04-27 00:00:00+00:00,1,1,2,2.0,2.0,32.0,999.0,4.691784165775821,4.691784165775821,1.0,0,0,0.0,1,,,
Davao De Oro,2020-05-04 00:00:00+00:00,0,0,2,,2.0,32.0,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-05-11 00:00:00+00:00,0,0,2,,2.0,32.0,999.0,,,,0,0,0.0,1,,,
Davao De Oro,2020-05-18 00:00:00+00:00,0,2,4,3.4,3.4,23.5,999.0,1.718520900192758,3.040670528388988,1.0,1,2,0.5,1,,,
Davao De Oro,2020-05-25 00:00:00+00:00,0,0,3,,3.4,20.666666666666668,999.0,,,,1,2,0.6666666666666666,1,,,
Davao De Oro,2020-06-01 00:00:00+00:00,0,3,5,3.1,3.4,15.6,999.0,6.266401044374881,13.090880596051983,0.8,1,2,0.4,1,,,
Davao De Oro,2020-06-08 00:00:00+00:00,0,2,7,2.0,3.4,19.571428571428573,999.0,2.6994074985849488,13.787497053927973,0.7142857142857143,3,2,0.8571428571428571,2,,,
Davao De Oro,2020-06-15 00:00:00+00:00,1,1,6,2.1,3.1,39.833333333333336,999.0,0.2718171189578462,0.2718171189578462,0.6666666666666666,2,2,0.6666666666666666,2,,,
Davao De Oro,2020-06-22 00:00:00+00:00,1,1,7,2.6,3.1,34.857142857142854,999.0,8.149195375817348,8.149195375817348,0.7142857142857143,2,2,0.5714285714285714,2,,,
