fold,model,train_end,test_start,test_end,train_rows,test_rows,mae,rmse,r2
1,random_forest,2019-12-23 00:00:00+00:00,2019-12-30 00:00:00+00:00,2020-06-22 00:00:00+00:00,403,126,0.7954889447716127,0.9971687229302567,0.7134547344619341
1,gradient_boosting,2019-12-23 00:00:00+00:00,2019-12-30 00:00:00+00:00,2020-06-22 00:00:00+00:00,403,126,0.9267242039913264,1.1431434514941712,0.6234198649771997
2,random_forest,2020-06-22 00:00:00+00:00,2020-06-29 00:00:00+00:00,2020-12-21 00:00:00+00:00,529,130,1.0201058523169677,1.3194921410503933,0.4304311167882363
2,gradient_boosting,2020-06-22 00:00:00+00:00,2020-06-29 00:00:00+00:00,2020-12-21 00:00:00+00:00,529,130,1.0074212424206666,1.2705048923381046,0.4719375060183846
3,random_forest,2020-12-21 00:00:00+00:00,2020-12-28 00:00:00+00:00,2021-06-21 00:00:00+00:00,659,130,1.0261955722854292,1.278595638687982,0.46938167314097723
3,gradient_boosting,2020-12-21 00:00:00+00:00,2020-12-28 00:00:00+00:00,2021-06-21 00:00:00+00:00,659,130,1.0121330194515843,1.3271348746689586,0.4283293023160518
4,random_forest,2021-06-21 00:00:00+00:00,2021-06-28 00:00:00+00:00,2021-12-20 00:00:00+00:00,789,130,0.8906546202137046,1.1725960318962159,0.46867728130777697
4,gradient_boosting,2021-06-21 00:00:00+00:00,2021-06-28 00:00:00+00:00,2021-12-20 00:00:00+00:00,789,130,0.9586693091108939,1.2308181925301878,0.4146045270845188
5,random_forest,2021-12-20 00:00:00+00:00,2021-12-27 00:00:00+00:00,2022-06-20 00:00:00+00:00,919,130,1.045826864810715,1.2855202060586095,0.5080915984027946
5,gradient_boosting,2021-12-20 00:00:00+00:00,2021-12-27 00:00:00+00:00,2022-06-20 00:00:00+00:00,919,130,1.0453747843598764,1.3145249309111948,0.485643680628961
6,random_forest,2022-06-20 00:00:00+00:00,2022-06-27 00:00:00+00:00,2022-12-19 00:00:00+00:00,1049,130,1.01867958505011,1.3210394171506301,0.333475870374377
6,gradient_boosting,2022-06-20 00:00:00+00:00,2022-06-27 00:00:00+00:00,2022-12-19 00:00:00+00:00,1049,130,0.9595428037137776,1.2479975567829527,0.40514407165146726
7,random_forest,2022-12-19 00:00:00+00:00,2022-12-26 00:00:00+00:00,2023-06-19 00:00:00+00:00,1179,130,1.0378602673472288,1.4087633937508162,0.33785186188750715
7,gradient_boosting,2022-12-19 00:00:00+00:00,2022-12-26 00:00:00+00:00,2023-06-19 00:00:00+00:00,1179,130,1.0965259779647745,1.4978524207202302,0.2514564073735197
8,random_forest,2023-06-19 00:00:00+00:00,2023-06-26 00:00:00+00:00,2023-12-18 00:00:00+00:00,1309,130,0.9477324967775296,1.2610384029759165,0.2330066003914827
8,gradient_boosting,2023-06-19 00:00:00+00:00,2023-06-26 00:00:00+00:00,2023-12-18 00:00:00+00:00,1309,130,0.9554774959495127,1.2852476475308168,0.20327464791600425
9,random_forest,2023-12-18 00:00:00+00:00,2023-12-25 00:00:00+00:00,2024-06-17 00:00:00+00:00,1439,130,0.8239381988926513,1.0728417141380053,0.3800714940087919
9,gradient_boosting,2023-12-18 00:00:00+00:00,2023-12-25 00:00:00+00:00,2024-06-17 00:00:00+00:00,1439,130,0.8104609327382943,1.0847491546077925,0.366233988125922
10,random_forest,2024-06-17 00:00:00+00:00,2024-06-24 00:00:00+00:00,2024-12-16 00:00:00+00:00,1569,130,0.8049924063825168,1.0598953657424666,0.4752623717294828
10,gradient_boosting,2024-06-17 00:00:00+00:00,2024-06-24 00:00:00+00:00,2024-12-16 00:00:00+00:00,1569,130,0.8173577323740647,1.079859502984947,0.45530833388911063
11,random_forest,2024-12-16 00:00:00+00:00,2024-12-23 00:00:00+00:00,2025-06-16 00:00:00+00:00,1699,130,0.835421183203423,1.1052409600735866,0.48043996565601665
11,gradient_boosting,2024-12-16 00:00:00+00:00,2024-12-23 00:00:00+00:00,2025-06-16 00:00:00+00:00,1699,130,0.8440224761250231,1.0750372736756182,0.5084487116783105
12,random_forest,2025-06-16 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-12-15 00:00:00+00:00,1829,130,0.8806682014865426,1.1372520145778244,0.5111119158215718
12,gradient_boosting,2025-06-16 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-12-15 00:00:00+00:00,1829,130,0.9170014005039511,1.190746802978533,0.4640369241420257
13,random_forest,2025-12-15 00:00:00+00:00,2025-12-22 00:00:00+00:00,2026-01-19 00:00:00+00:00,1959,21,1.0277336657375482,1.26844712662452,0.2747255214535914
13,gradient_boosting,2025-12-15 00:00:00+00:00,2025-12-22 00:00:00+00:00,2026-01-19 00:00:00+00:00,1959,21,1.1044092000279122,1.3617078638715694,0.16415538557978415
